selection_type,task_name,source_task,target,model_name
classification,distillation_depth_inference,distillation_depth_inference,evaluator_label,logistic_regression
classification,protocol_inference,protocol_inference,evaluator_label,hist_gradient_boosting
classification,protocol_label_only_control,protocol_label_only_control,evaluator_label,random_forest
classification,retry_policy_inference,retry_policy_inference,evaluator_label,logistic_regression
classification,service_class_inference,service_class_inference,evaluator_label,logistic_regression
classification,service_label_only_control,service_label_only_control,evaluator_label,random_forest
regression,distillation_depth_estimation,distillation_depth_inference,distillation_depth,elastic_net
regression,retry_count_estimation,retry_policy_inference,actual_retry_count,hist_gradient_boosting
