trace_id,domain_id,domain_family,base_schedule_id,repeat_id,probe_count,mean_excess_ns,median_excess_ns,mean_abs_excess_ns,std_excess_ns,max_excess_ns,min_excess_ns,p10_excess_ns,p25_excess_ns,p50_excess_ns,p75_excess_ns,p90_excess_ns,p95_excess_ns,p99_excess_ns,tail_mass_gt_p90_fraction,tail_mass_gt_2x_median_abs_fraction,delayed_fraction,speedup_fraction,failure_transition_fraction,cumulative_positive_excess_ns,cumulative_negative_magnitude_ns,cumulative_abs_excess_ns,longest_delayed_run,longest_speedup_run,delayed_run_count,speedup_run_count,mean_delayed_run_length,mean_speedup_run_length,long_gap_frequency,mean_inter_affected_gap_probes,std_inter_affected_gap_probes,inferred_busy_period_ns,lag1_autocorrelation,lag2_autocorrelation,lag3_autocorrelation,early_mean_abs_ns,middle_mean_abs_ns,late_mean_abs_ns,cross_path_corr_mean,cross_path_corr_max,cross_path_corr_min,spectral_dominant_bin_fraction,spectral_centroid_fraction,spectral_entropy,spectral_low_frequency_power_fraction,probe_path_0__mean_excess_ns,probe_path_0__mean_abs_excess_ns,probe_path_0__delayed_fraction,probe_path_0__speedup_fraction,probe_path_0__cumulative_abs_excess_ns,probe_path_0__cumulative_positive_excess_ns,probe_path_0__p95_abs_excess_ns,probe_path_1__mean_excess_ns,probe_path_1__mean_abs_excess_ns,probe_path_1__delayed_fraction,probe_path_1__speedup_fraction,probe_path_1__cumulative_abs_excess_ns,probe_path_1__cumulative_positive_excess_ns,probe_path_1__p95_abs_excess_ns,probe_path_2__mean_excess_ns,probe_path_2__mean_abs_excess_ns,probe_path_2__delayed_fraction,probe_path_2__speedup_fraction,probe_path_2__cumulative_abs_excess_ns,probe_path_2__cumulative_positive_excess_ns,probe_path_2__p95_abs_excess_ns
3b0a0aa85670ee2b4686,known_domain,closed_world,known_0000,0,48.0,12.90809881037904,0.0,12.90809881037904,31.0445450837863,123.37686198189226,0.0,0.0,0.0,0.0,0.0,59.413664226769356,92.35247907164106,117.10700057596279,0.10416666666666667,0.0,0.1875,0.0,0.0,619.5887428981939,0.0,619.5887428981939,1.0,0.0,9.0,0.0,1.0,0.0,1.0,5.0,0.0,420.0,-0.17721390072783286,-0.18176662842289382,-0.18655944865412022,20.6390821591729,13.071197652491605,5.0140166194726135,-0.17442674873703715,-0.1660173806272138,-0.18424173305933386,0.7916666666666666,0.5682850402169543,0.6342481552841928,0.06828143506427017,15.539950463150447,15.539950463150447,0.1875,0.0,248.63920741040715,248.63920741040715,93.89748750177779,10.279695889416246,10.279695889416246,0.1875,0.0,164.47513423065993,164.47513423065993,65.25272586597043,12.904650078570427,12.904650078570427,0.1875,0.0,206.47440125712683,206.47440125712683,80.26048709884265
4929166f68cd7646fe0a,known_domain,closed_world,known_0000,0,48.0,7.424194212757105,0.0,7.424194212757105,23.592707714480824,118.50905583781969,0.0,0.0,0.0,0.0,0.0,17.81533467011443,43.70781625407241,111.93559674482198,0.10416666666666667,0.0,0.16666666666666666,0.0,0.0,356.36132221234107,0.0,356.36132221234107,2.0,0.0,6.0,0.0,1.3333333333333333,0.0,0.7142857142857143,5.714285714285714,6.040678431961706,840.0,0.03116994749476154,-0.10377681440614239,-0.10632817470967848,13.983398149036631,7.099625125185526,1.1895593640491597,0.22105776325519466,0.9083833639941231,-0.13603310493770587,0.4583333333333333,0.4840652687321834,0.8538863060888294,0.20184256342589937,10.997309197590724,10.997309197590724,0.1875,0.0,175.95694716145158,175.95694716145158,65.90991044587412,1.5463795929582034,1.5463795929582034,0.125,0.0,24.742073487331254,24.742073487331254,7.6506944985505925,9.72889384772239,9.72889384772239,0.1875,0.0,155.66230156355823,155.66230156355823,52.408291663541036
528ad5c8b19611ca4283,known_domain,closed_world,known_0000,0,48.0,48.823154973952796,0.0,48.823154973952796,96.15592964259206,351.1025975713492,0.0,0.0,0.0,0.0,6.130743165307194,210.7032751416956,230.40797779699946,344.9116422719298,0.10416666666666667,0.0,0.25,0.0,0.0,2343.511438749734,0.0,2343.511438749734,2.0,0.0,9.0,0.0,1.3333333333333333,0.0,0.7272727272727273,3.6363636363636362,1.6663911618021234,840.0,-0.07379197292504808,-0.27206864534653946,-0.279806315805364,44.98357270135578,48.03437560103009,53.4515166194725,-0.09595328176095218,0.013066591846993707,-0.25048150336866787,0.7916666666666666,0.5352643319590958,0.7219005121383414,0.08383782970464286,36.470442620362135,36.470442620362135,0.25,0.0,583.5270819257942,583.5270819257942,176.91124440051635,59.62418643159913,59.62418643159913,0.25,0.0,953.986982905586,953.986982905586,250.84137898878066,50.37483586989711,50.37483586989711,0.25,0.0,805.9973739183538,805.9973739183538,264.05319789107114
df4bb29b0b42b4b7c13d,known_domain,closed_world,known_0000,0,48.0,52.495802391647146,0.0,52.495802391647146,96.3984291290099,351.1025975713492,0.0,0.0,0.0,0.0,55.765234549778086,212.8932369093865,231.95109249304716,344.9116422719298,0.10416666666666667,0.0,0.2708333333333333,0.0,0.0,2519.798514799063,0.0,2519.798514799063,2.0,0.0,9.0,0.0,1.4444444444444444,0.0,0.5833333333333334,3.5833333333333335,2.5317429218272185,840.0,0.011381721313906794,-0.19741347375923543,-0.18557689928061818,31.5765821591729,49.12720267086809,76.78362234490044,-0.05706252251469962,0.24089411908693964,-0.34184958208253485,0.4166666666666667,0.49553738767588723,0.7613542717400367,0.15597568391715444,44.93890917273866,44.93890917273866,0.3125,0.0,719.0225467638186,719.0225467638186,176.91124440051635,50.243315381639206,50.243315381639206,0.25,0.0,803.8930461062273,803.8930461062273,250.84137898878066,62.305182620563556,62.305182620563556,0.25,0.0,996.8829219290169,996.8829219290169,264.05319789107114
adab4306540658817f2e,known_domain,closed_world,known_0000,0,48.0,52.12381482642703,0.0,52.12381482642703,102.00481324074312,351.1025975713492,0.0,0.0,0.0,0.0,16.954234574571956,210.7032751416956,293.36022956423767,344.9116422719298,0.10416666666666667,0.0,0.2708333333333333,0.0,0.0,2501.9431116684973,0.0,2501.9431116684973,2.0,0.0,11.0,0.0,1.1818181818181819,0.0,0.75,3.6666666666666665,1.4907119849998598,840.0,-0.04209596119433738,-0.2527362611172973,-0.2594621151175022,34.95076753535251,48.99982546599324,72.42085147793534,-0.16585746303278756,-0.017622434957995318,-0.27863569392014514,0.4166666666666667,0.5376134672669726,0.8264281068820133,0.14247247974339894,26.477450463150447,26.477450463150447,0.1875,0.0,423.63920741040715,423.63920741040715,176.91124440051635,47.12418643159913,47.12418643159913,0.25,0.0,753.986982905586,753.986982905586,245.36647456955347,82.76980758453152,82.76980758453152,0.375,0.0,1324.3169213525043,1324.3169213525043,315.4076676943914
cadff63d24af6e33569b,known_domain,closed_world,known_0000,0,48.0,9.421916449267385,0.0,9.421916449267385,27.208029593658026,134.5118486749261,0.0,0.0,0.0,0.0,0.0,25.77922426302058,68.8590201286638,120.4170769484884,0.10416666666666667,0.0,0.1875,0.0,0.0,452.2519895648345,0.0,452.2519895648345,2.0,0.0,7.0,0.0,1.2857142857142858,0.0,0.75,5.0,3.278719262151,840.0,0.03693983085673602,-0.12578764306616605,-0.12894335693336295,14.983572701355783,12.092617282397214,1.1895593640491597,-0.011392438646279026,0.2324730053710499,-0.14656808787453282,0.4166666666666667,0.5233224969420076,0.8419617925238162,0.24644606234358432,8.583485364938682,8.583485364938682,0.1875,0.0,137.3357658390189,137.3357658390189,56.25461511526595,9.953370135141085,9.953370135141085,0.1875,0.0,159.25392216225737,159.25392216225737,49.9867530941533,9.72889384772239,9.72889384772239,0.1875,0.0,155.66230156355823,155.66230156355823,52.408291663541036
6431c831dc0aad8bb10f,known_domain,closed_world,known_0000,0,48.0,14.058689628112987,0.0,14.058689628112987,41.506928906748605,191.102597571351,0.0,0.0,0.0,0.0,0.0,35.76160806167769,104.36460333236414,184.91164227193076,0.10416666666666667,0.0,0.1875,0.0,0.0,674.8171021494234,0.0,674.8171021494234,2.0,0.0,6.0,0.0,1.5,0.0,0.625,5.0,5.873670062235365,840.0,0.022608692595871133,-0.12031050291627306,-0.12331375720654605,14.983572701355783,1.7871251251855256,25.40537105779765,0.08187482208246326,0.3941297197292665,-0.13762878324137628,0.4583333333333333,0.4934334185076235,0.8903218758028925,0.18907350401313733,5.931304901475485,5.931304901475485,0.1875,0.0,94.90087842360776,94.90087842360776,40.18395582045497,20.890870135141085,20.890870135141085,0.1875,0.0,334.25392216225737,334.25392216225737,145.36647456955347,15.35389384772239,15.35389384772239,0.1875,0.0,245.66230156355823,245.66230156355823,74.05319789107159
81a22898c8bafa22ae45,known_domain,closed_world,known_0000,0,48.0,32.05258741990359,0.0,32.05258741990359,53.40372551132279,191.102597571351,0.0,0.0,0.0,0.0,38.0897403249819,123.30989368895169,153.3683770890555,184.91164227193076,0.10416666666666667,0.0,0.4166666666666667,0.0,0.0,1538.5241961553722,0.0,1538.5241961553722,3.0,0.0,11.0,0.0,1.8181818181818181,0.0,0.42105263157894735,2.3684210526315788,1.4942178491135147,1260.0,-0.12615037682656743,-0.29535081042271616,-0.09334114140693155,33.21995115871677,17.601646475145287,45.33616462584871,-0.16665564342823758,0.08078074603039288,-0.34173777114465914,0.375,0.5559434287848232,0.8294087231565208,0.06904368389752022,21.20248645895596,21.20248645895596,0.4375,0.0,339.23978334329536,339.23978334329536,89.62726395945492,38.76353850094057,38.76353850094057,0.4375,0.0,620.2166160150491,620.2166160150491,162.93035225343556,36.191737299814235,36.191737299814235,0.375,0.0,579.0677967970278,579.0677967970278,156.44775251638578
4af34aea8f1573d6a92b,known_domain,closed_world,known_0000,0,48.0,2.777693619026929,0.0,2.777693619026929,9.155440958085402,48.37686198189226,0.0,0.0,0.0,0.0,0.0,4.772555379926806,19.813527952005042,42.107000575962786,0.10416666666666667,0.0,0.125,0.0,0.0,133.3292937132926,0.0,133.3292937132926,1.0,0.0,6.0,0.0,1.0,0.0,1.0,8.0,6.0,420.0,-0.09419002383004324,-0.09643509443162164,-0.09878980328585191,6.576582159172901,0.566939333858727,1.1895593640491597,-0.09982687638606984,-0.08934433761502113,-0.10721195738447921,0.7916666666666666,0.5340216565139817,0.8320320166815414,0.13817164961704845,3.5904932077269933,3.5904932077269933,0.125,0.0,57.44789132363189,57.44789132363189,18.89748750177779,1.5463795929582034,1.5463795929582034,0.125,0.0,24.742073487331254,24.742073487331254,7.6506944985505925,3.196208056395591,3.196208056395591,0.125,0.0,51.13932890232945,51.13932890232945,20.836131011257862
3c6dd86d1d642435a066,known_domain,closed_world,known_0000,0,48.0,6.4235269523602625,0.0,6.4235269523602625,26.639518908039104,177.93035225343556,0.0,0.0,0.0,0.0,0.0,11.180499810623072,30.40797779699947,117.04021182581036,0.10416666666666667,0.0,0.125,0.0,0.0,308.3292937132926,0.0,308.3292937132926,1.0,0.0,6.0,0.0,1.0,0.0,1.0,8.0,6.0,420.0,-0.059453210797854227,-0.06082428492461741,-0.0622600895991469,6.576582159172901,0.566939333858727,12.12705936404916,-0.0992084886723162,-0.08848227142142508,-0.10721195738447921,0.7916666666666666,0.5356106948721807,0.9529755950207245,0.21017226198901054,3.5904932077269933,3.5904932077269933,0.125,0.0,57.44789132363189,57.44789132363189,18.89748750177779,12.483879592958203,12.483879592958203,0.125,0.0,199.74207348733125,199.74207348733125,60.84137898878066,3.196208056395591,3.196208056395591,0.125,0.0,51.13932890232945,51.13932890232945,20.836131011257862
