attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,qaoa_n6,20000,1000,1030,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,1,qaoa_n6,20000,1420,1450,1450,1450,1560,110,0,110,module_3,module_4,1,0,110,1560,0,0,False
2,2,qaoa_n6,20000,1840,1870,1870,3540,3650,110,1670,1780,module_3,module_4,20,0,110,1980,1670,1670,True
3,3,qaoa_n6,20000,2260,2290,2290,4430,4540,110,2140,2250,module_3,module_4,28,0,110,2400,2140,2140,True
4,4,qaoa_n6,20000,2680,2710,2710,4540,4650,110,1830,1940,module_3,module_4,29,0,110,2820,1830,1830,True
5,5,qaoa_n6,20000,3100,3130,3130,4650,4760,110,1520,1630,module_3,module_4,30,0,110,3240,1520,1520,True
6,6,qaoa_n6,20000,3520,3550,3550,4760,4870,110,1210,1320,module_3,module_4,31,0,110,3660,1210,1210,True
7,7,qaoa_n6,20000,3940,3970,3970,4870,4980,110,900,1010,module_3,module_4,32,0,110,4080,900,900,True
8,8,qaoa_n6,20000,4360,4390,4390,4980,5090,110,590,700,module_3,module_4,33,0,110,4500,590,590,True
9,9,qaoa_n6,20000,4780,4810,4810,5090,5200,110,280,390,module_3,module_4,34,0,110,4920,280,280,True
10,10,qaoa_n6,20000,5200,5230,5230,5230,5340,110,0,110,module_3,module_4,35,0,110,5340,0,0,False
11,11,qaoa_n6,20000,5620,5650,5650,5650,5760,110,0,110,module_3,module_4,36,0,110,5760,0,0,False
12,12,qaoa_n6,20000,6040,6070,6070,6070,6180,110,0,110,module_3,module_4,37,0,110,6180,0,0,False
13,13,qaoa_n6,20000,6460,6490,6490,6490,6600,110,0,110,module_3,module_4,38,0,110,6600,0,0,False
14,14,qaoa_n6,20000,6880,6910,6910,6910,7020,110,0,110,module_3,module_4,39,0,110,7020,0,0,False
15,15,qaoa_n6,20000,7300,7330,7330,7330,7440,110,0,110,module_3,module_4,40,0,110,7440,0,0,False
16,16,qaoa_n6,20000,7720,7750,7750,7750,7860,110,0,110,module_3,module_4,41,0,110,7860,0,0,False
17,17,qaoa_n6,20000,8140,8170,8170,8170,8280,110,0,110,module_3,module_4,42,0,110,8280,0,0,False
18,18,qaoa_n6,20000,8560,8590,8590,8590,8700,110,0,110,module_3,module_4,43,0,110,8700,0,0,False
19,19,qaoa_n6,20000,8980,9010,9010,9010,9120,110,0,110,module_3,module_4,44,0,110,9120,0,0,False
20,20,qaoa_n6,20000,9400,9430,9430,9430,9540,110,0,110,module_3,module_4,45,0,110,9540,0,0,False
21,21,qaoa_n6,20000,9820,9850,9850,9850,9960,110,0,110,module_3,module_4,46,0,110,9960,0,0,False
22,22,qaoa_n6,20000,10240,10270,10270,10270,10380,110,0,110,module_3,module_4,47,0,110,10380,0,0,False
23,23,qaoa_n6,20000,10660,10690,10690,10690,10800,110,0,110,module_3,module_4,48,0,110,10800,0,0,False
24,24,qaoa_n6,20000,11080,11110,11110,11110,11220,110,0,110,module_3,module_4,49,0,110,11220,0,0,False
25,25,qaoa_n6,20000,11500,11530,11530,11530,11640,110,0,110,module_3,module_4,50,0,110,11640,0,0,False
26,26,qaoa_n6,20000,11920,11950,11950,11950,12060,110,0,110,module_3,module_4,51,0,110,12060,0,0,False
27,27,qaoa_n6,20000,12340,12370,12370,12370,12480,110,0,110,module_3,module_4,52,0,110,12480,0,0,False
28,28,qaoa_n6,20000,12760,12790,12790,12790,12900,110,0,110,module_3,module_4,53,0,110,12900,0,0,False
29,29,qaoa_n6,20000,13180,13210,13210,13210,13320,110,0,110,module_3,module_4,54,0,110,13320,0,0,False
30,30,qaoa_n6,20000,13600,13630,13630,13630,13740,110,0,110,module_3,module_4,55,0,110,13740,0,0,False
31,31,qaoa_n6,20000,14020,14050,14050,14050,14160,110,0,110,module_3,module_4,56,0,110,14160,0,0,False
32,32,qaoa_n6,20000,14440,14470,14470,14470,14580,110,0,110,module_3,module_4,57,0,110,14580,0,0,False
33,33,qaoa_n6,20000,14860,14890,14890,14890,15000,110,0,110,module_3,module_4,58,0,110,15000,0,0,False
34,34,qaoa_n6,20000,15280,15310,15310,15310,15420,110,0,110,module_3,module_4,59,0,110,15420,0,0,False
35,35,qaoa_n6,20000,15700,15730,15730,15730,15840,110,0,110,module_3,module_4,60,0,110,15840,0,0,False
36,36,qaoa_n6,20000,16120,16150,16150,16150,16260,110,0,110,module_3,module_4,61,0,110,16260,0,0,False
37,37,qaoa_n6,20000,16540,16570,16570,16570,16680,110,0,110,module_3,module_4,62,0,110,16680,0,0,False
38,38,qaoa_n6,20000,16960,16990,16990,16990,17100,110,0,110,module_3,module_4,63,0,110,17100,0,0,False
39,39,qaoa_n6,20000,17380,17410,17410,17410,17520,110,0,110,module_3,module_4,64,0,110,17520,0,0,False
40,40,qaoa_n6,20000,17800,17830,17830,17830,17940,110,0,110,module_3,module_4,65,0,110,17940,0,0,False
41,41,qaoa_n6,20000,18220,18250,18250,18250,18360,110,0,110,module_3,module_4,66,0,110,18360,0,0,False
42,42,qaoa_n6,20000,18640,18670,18670,18670,18780,110,0,110,module_3,module_4,67,0,110,18780,0,0,False
43,43,qaoa_n6,20000,19060,19090,19090,19090,19200,110,0,110,module_3,module_4,68,0,110,19200,0,0,False
44,44,qaoa_n6,20000,19480,19510,19510,19510,19620,110,0,110,module_3,module_4,69,0,110,19620,0,0,False
45,45,qaoa_n6,20000,19900,19930,19930,19930,20040,110,0,110,module_3,module_4,70,0,110,20040,0,0,False
46,46,qaoa_n6,20000,20320,20350,20350,20350,20460,110,0,110,module_3,module_4,71,0,110,20460,0,0,False
47,47,qaoa_n6,20000,20740,20770,20770,20770,20880,110,0,110,module_3,module_4,72,0,110,20880,0,0,False
