attacker_request_id,rate_name,rate_multiplier,probe_round_period_ns,probe_round_id,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,rate_2p00x_high,2.0,210,0,1000,1030,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,rate_2p00x_high,2.0,210,1,1210,1240,1240,1240,1350,110,0,110,module_3,module_4,1,0,110,1350,0,0,False
2,rate_2p00x_high,2.0,210,2,1420,1450,1450,1450,1560,110,0,110,module_3,module_4,2,0,110,1560,0,0,False
3,rate_2p00x_high,2.0,210,3,1630,1660,1660,1660,1770,110,0,110,module_3,module_4,3,0,110,1770,0,0,False
4,rate_2p00x_high,2.0,210,4,1840,1870,1870,1870,1980,110,0,110,module_3,module_4,4,0,110,1980,0,0,False
5,rate_2p00x_high,2.0,210,5,2050,2080,2080,2080,2190,110,0,110,module_3,module_4,5,0,110,2190,0,0,False
6,rate_2p00x_high,2.0,210,6,2260,2290,2290,2290,2400,110,0,110,module_3,module_4,6,0,110,2400,0,0,False
7,rate_2p00x_high,2.0,210,7,2470,2500,2500,2500,2610,110,0,110,module_3,module_4,7,0,110,2610,0,0,False
8,rate_2p00x_high,2.0,210,8,2680,2710,2710,2710,2820,110,0,110,module_3,module_4,8,0,110,2820,0,0,False
9,rate_2p00x_high,2.0,210,9,2890,2920,2920,2920,3030,110,0,110,module_3,module_4,9,0,110,3030,0,0,False
10,rate_2p00x_high,2.0,210,10,3100,3130,3130,3130,3240,110,0,110,module_3,module_4,10,0,110,3240,0,0,False
11,rate_2p00x_high,2.0,210,11,3310,3340,3340,3340,3450,110,0,110,module_3,module_4,11,0,110,3450,0,0,False
12,rate_2p00x_high,2.0,210,12,3520,3550,3550,3550,3660,110,0,110,module_3,module_4,12,0,110,3660,0,0,False
13,rate_2p00x_high,2.0,210,13,3730,3760,3760,4650,4760,110,890,1000,module_3,module_4,22,0,110,3870,890,890,True
14,rate_2p00x_high,2.0,210,14,3940,3970,3970,4760,4870,110,790,900,module_3,module_4,23,0,110,4080,790,790,True
15,rate_2p00x_high,2.0,210,15,4150,4180,4180,4870,4980,110,690,800,module_3,module_4,24,0,110,4290,690,690,True
16,rate_2p00x_high,2.0,210,16,4360,4390,4390,5530,5640,110,1140,1250,module_3,module_4,30,0,110,4500,1140,1140,True
17,rate_2p00x_high,2.0,210,17,4570,4600,4600,6080,6190,110,1480,1590,module_3,module_4,35,0,110,4710,1480,1480,True
18,rate_2p00x_high,2.0,210,18,4780,4810,4810,6300,6410,110,1490,1600,module_3,module_4,37,0,110,4920,1490,1490,True
19,rate_2p00x_high,2.0,210,19,4990,5020,5020,7290,7400,110,2270,2380,module_3,module_4,46,0,110,5130,2270,2270,True
20,rate_2p00x_high,2.0,210,20,5200,5230,5230,7400,7510,110,2170,2280,module_3,module_4,47,0,110,5340,2170,2170,True
21,rate_2p00x_high,2.0,210,21,5410,5440,5440,7510,7620,110,2070,2180,module_3,module_4,48,0,110,5550,2070,2070,True
22,rate_2p00x_high,2.0,210,22,5620,5650,5650,7620,7730,110,1970,2080,module_3,module_4,49,0,110,5760,1970,1970,True
23,rate_2p00x_high,2.0,210,23,5830,5860,5860,7730,7840,110,1870,1980,module_3,module_4,50,0,110,5970,1870,1870,True
24,rate_2p00x_high,2.0,210,24,6040,6070,6070,7840,7950,110,1770,1880,module_3,module_4,51,0,110,6180,1770,1770,True
25,rate_2p00x_high,2.0,210,25,6250,6280,6280,8280,8390,110,2000,2110,module_3,module_4,55,0,110,6390,2000,2000,True
26,rate_2p00x_high,2.0,210,26,6460,6490,6490,8720,8830,110,2230,2340,module_3,module_4,59,0,110,6600,2230,2230,True
27,rate_2p00x_high,2.0,210,27,6670,6700,6700,9160,9270,110,2460,2570,module_3,module_4,63,0,110,6810,2460,2460,True
28,rate_2p00x_high,2.0,210,28,6880,6910,6910,9600,9710,110,2690,2800,module_3,module_4,67,0,110,7020,2690,2690,True
29,rate_2p00x_high,2.0,210,29,7090,7120,7120,10370,10480,110,3250,3360,module_3,module_4,74,0,110,7230,3250,3250,True
30,rate_2p00x_high,2.0,210,30,7300,7330,7330,10480,10590,110,3150,3260,module_3,module_4,75,0,110,7440,3150,3150,True
31,rate_2p00x_high,2.0,210,31,7510,7540,7540,10590,10700,110,3050,3160,module_3,module_4,76,0,110,7650,3050,3050,True
32,rate_2p00x_high,2.0,210,32,7720,7750,7750,10700,10810,110,2950,3060,module_3,module_4,77,0,110,7860,2950,2950,True
33,rate_2p00x_high,2.0,210,33,7930,7960,7960,10810,10920,110,2850,2960,module_3,module_4,78,0,110,8070,2850,2850,True
34,rate_2p00x_high,2.0,210,34,8140,8170,8170,10920,11030,110,2750,2860,module_3,module_4,79,0,110,8280,2750,2750,True
35,rate_2p00x_high,2.0,210,35,8350,8380,8380,11030,11140,110,2650,2760,module_3,module_4,80,0,110,8490,2650,2650,True
36,rate_2p00x_high,2.0,210,36,8560,8590,8590,11140,11250,110,2550,2660,module_3,module_4,81,0,110,8700,2550,2550,True
37,rate_2p00x_high,2.0,210,37,8770,8800,8800,11250,11360,110,2450,2560,module_3,module_4,82,0,110,8910,2450,2450,True
38,rate_2p00x_high,2.0,210,38,8980,9010,9010,11360,11470,110,2350,2460,module_3,module_4,83,0,110,9120,2350,2350,True
39,rate_2p00x_high,2.0,210,39,9190,9220,9220,11470,11580,110,2250,2360,module_3,module_4,84,0,110,9330,2250,2250,True
40,rate_2p00x_high,2.0,210,40,9400,9430,9430,11580,11690,110,2150,2260,module_3,module_4,85,0,110,9540,2150,2150,True
41,rate_2p00x_high,2.0,210,41,9610,9640,9640,11800,11910,110,2160,2270,module_3,module_4,87,0,110,9750,2160,2160,True
42,rate_2p00x_high,2.0,210,42,9820,9850,9850,12790,12900,110,2940,3050,module_3,module_4,96,0,110,9960,2940,2940,True
43,rate_2p00x_high,2.0,210,43,10030,10060,10060,12900,13010,110,2840,2950,module_3,module_4,97,0,110,10170,2840,2840,True
44,rate_2p00x_high,2.0,210,44,10240,10270,10270,13010,13120,110,2740,2850,module_3,module_4,98,0,110,10380,2740,2740,True
45,rate_2p00x_high,2.0,210,45,10450,10480,10480,13780,13890,110,3300,3410,module_3,module_4,105,0,110,10590,3300,3300,True
46,rate_2p00x_high,2.0,210,46,10660,10690,10690,14220,14330,110,3530,3640,module_3,module_4,109,0,110,10800,3530,3530,True
47,rate_2p00x_high,2.0,210,47,10870,10900,10900,14550,14660,110,3650,3760,module_3,module_4,112,0,110,11010,3650,3650,True
48,rate_2p00x_high,2.0,210,48,11080,11110,11110,15430,15540,110,4320,4430,module_3,module_4,120,0,110,11220,4320,4320,True
49,rate_2p00x_high,2.0,210,49,11290,11320,11320,15540,15650,110,4220,4330,module_3,module_4,121,0,110,11430,4220,4220,True
50,rate_2p00x_high,2.0,210,50,11500,11530,11530,15650,15760,110,4120,4230,module_3,module_4,122,0,110,11640,4120,4120,True
51,rate_2p00x_high,2.0,210,51,11710,11740,11740,15760,15870,110,4020,4130,module_3,module_4,123,0,110,11850,4020,4020,True
52,rate_2p00x_high,2.0,210,52,11920,11950,11950,15870,15980,110,3920,4030,module_3,module_4,124,0,110,12060,3920,3920,True
53,rate_2p00x_high,2.0,210,53,12130,12160,12160,15980,16090,110,3820,3930,module_3,module_4,125,0,110,12270,3820,3820,True
54,rate_2p00x_high,2.0,210,54,12340,12370,12370,16090,16200,110,3720,3830,module_3,module_4,126,0,110,12480,3720,3720,True
55,rate_2p00x_high,2.0,210,55,12550,12580,12580,16200,16310,110,3620,3730,module_3,module_4,127,0,110,12690,3620,3620,True
56,rate_2p00x_high,2.0,210,56,12760,12790,12790,16310,16420,110,3520,3630,module_3,module_4,128,0,110,12900,3520,3520,True
57,rate_2p00x_high,2.0,210,57,12970,13000,13000,16420,16530,110,3420,3530,module_3,module_4,129,0,110,13110,3420,3420,True
58,rate_2p00x_high,2.0,210,58,13180,13210,13210,16530,16640,110,3320,3430,module_3,module_4,130,0,110,13320,3320,3320,True
59,rate_2p00x_high,2.0,210,59,13390,13420,13420,16640,16750,110,3220,3330,module_3,module_4,131,0,110,13530,3220,3220,True
60,rate_2p00x_high,2.0,210,60,13600,13630,13630,16750,16860,110,3120,3230,module_3,module_4,132,0,110,13740,3120,3120,True
61,rate_2p00x_high,2.0,210,61,13810,13840,13840,16860,16970,110,3020,3130,module_3,module_4,133,0,110,13950,3020,3020,True
62,rate_2p00x_high,2.0,210,62,14020,14050,14050,16970,17080,110,2920,3030,module_3,module_4,134,0,110,14160,2920,2920,True
63,rate_2p00x_high,2.0,210,63,14230,14260,14260,17080,17190,110,2820,2930,module_3,module_4,135,0,110,14370,2820,2820,True
64,rate_2p00x_high,2.0,210,64,14440,14470,14470,17190,17300,110,2720,2830,module_3,module_4,136,0,110,14580,2720,2720,True
65,rate_2p00x_high,2.0,210,65,14650,14680,14680,17300,17410,110,2620,2730,module_3,module_4,137,0,110,14790,2620,2620,True
66,rate_2p00x_high,2.0,210,66,14860,14890,14890,17410,17520,110,2520,2630,module_3,module_4,138,0,110,15000,2520,2520,True
67,rate_2p00x_high,2.0,210,67,15070,15100,15100,17520,17630,110,2420,2530,module_3,module_4,139,0,110,15210,2420,2420,True
68,rate_2p00x_high,2.0,210,68,15280,15310,15310,17630,17740,110,2320,2430,module_3,module_4,140,0,110,15420,2320,2320,True
69,rate_2p00x_high,2.0,210,69,15490,15520,15520,17740,17850,110,2220,2330,module_3,module_4,141,0,110,15630,2220,2220,True
70,rate_2p00x_high,2.0,210,70,15700,15730,15730,17850,17960,110,2120,2230,module_3,module_4,142,0,110,15840,2120,2120,True
71,rate_2p00x_high,2.0,210,71,15910,15940,15940,17960,18070,110,2020,2130,module_3,module_4,143,0,110,16050,2020,2020,True
72,rate_2p00x_high,2.0,210,72,16120,16150,16150,18070,18180,110,1920,2030,module_3,module_4,144,0,110,16260,1920,1920,True
73,rate_2p00x_high,2.0,210,73,16330,16360,16360,18180,18290,110,1820,1930,module_3,module_4,145,0,110,16470,1820,1820,True
74,rate_2p00x_high,2.0,210,74,16540,16570,16570,18290,18400,110,1720,1830,module_3,module_4,146,0,110,16680,1720,1720,True
75,rate_2p00x_high,2.0,210,75,16750,16780,16780,18400,18510,110,1620,1730,module_3,module_4,147,0,110,16890,1620,1620,True
76,rate_2p00x_high,2.0,210,76,16960,16990,16990,18510,18620,110,1520,1630,module_3,module_4,148,0,110,17100,1520,1520,True
77,rate_2p00x_high,2.0,210,77,17170,17200,17200,18620,18730,110,1420,1530,module_3,module_4,149,0,110,17310,1420,1420,True
78,rate_2p00x_high,2.0,210,78,17380,17410,17410,18730,18840,110,1320,1430,module_3,module_4,150,0,110,17520,1320,1320,True
79,rate_2p00x_high,2.0,210,79,17590,17620,17620,18840,18950,110,1220,1330,module_3,module_4,151,0,110,17730,1220,1220,True
80,rate_2p00x_high,2.0,210,80,17800,17830,17830,18950,19060,110,1120,1230,module_3,module_4,152,0,110,17940,1120,1120,True
81,rate_2p00x_high,2.0,210,81,18010,18040,18040,19060,19170,110,1020,1130,module_3,module_4,153,0,110,18150,1020,1020,True
82,rate_2p00x_high,2.0,210,82,18220,18250,18250,19170,19280,110,920,1030,module_3,module_4,154,0,110,18360,920,920,True
83,rate_2p00x_high,2.0,210,83,18430,18460,18460,19280,19390,110,820,930,module_3,module_4,155,0,110,18570,820,820,True
84,rate_2p00x_high,2.0,210,84,18640,18670,18670,19390,19500,110,720,830,module_3,module_4,156,0,110,18780,720,720,True
85,rate_2p00x_high,2.0,210,85,18850,18880,18880,19500,19610,110,620,730,module_3,module_4,157,0,110,18990,620,620,True
86,rate_2p00x_high,2.0,210,86,19060,19090,19090,19610,19720,110,520,630,module_3,module_4,158,0,110,19200,520,520,True
87,rate_2p00x_high,2.0,210,87,19270,19300,19300,19720,19830,110,420,530,module_3,module_4,159,0,110,19410,420,420,True
88,rate_2p00x_high,2.0,210,88,19480,19510,19510,19830,19940,110,320,430,module_3,module_4,160,0,110,19620,320,320,True
89,rate_2p00x_high,2.0,210,89,19690,19720,19720,19940,20050,110,220,330,module_3,module_4,161,0,110,19830,220,220,True
90,rate_2p00x_high,2.0,210,90,19900,19930,19930,20050,20160,110,120,230,module_3,module_4,162,0,110,20040,120,120,True
91,rate_2p00x_high,2.0,210,91,20110,20140,20140,20160,20270,110,20,130,module_3,module_4,163,0,110,20250,20,20,True
92,rate_2p00x_high,2.0,210,92,20320,20350,20350,20350,20460,110,0,110,module_3,module_4,164,0,110,20460,0,0,False
93,rate_2p00x_high,2.0,210,93,20530,20560,20560,20560,20670,110,0,110,module_3,module_4,165,0,110,20670,0,0,False
