knowledge_level,probe_strategy,placement_class,trial_count,detection_probability,mean_observable_change_fraction,mean_absolute_timing_change_ns,mean_probes_to_first_change
exact_both_policy_known,one_shot_candidate_cycle,link_overlap_only,16,1.0,0.4453125,763.7760416666666,2.1875
exact_both_policy_known,one_shot_fixed,endpoint_overlap,157,0.9490445859872612,0.2837048832271762,315.72186836518046,4.343949044585988
exact_both_policy_known,one_shot_fixed,hub_only,187,0.1711229946524064,0.043894830659536546,75.95811051693404,41.43850267379679
exact_both_policy_known,one_shot_fixed,link_overlap_only,16,0.75,0.3372395833333333,501.8489583333333,14.1875
exact_both_policy_known,one_shot_knowledge_guided,endpoint_overlap,157,0.9617834394904459,0.3385084925690021,478.77123142250525,3.605095541401274
exact_both_policy_known,one_shot_knowledge_guided,hub_only,187,0.16042780748663102,0.047682709447415324,80.99598930481284,41.973262032085564
exact_both_policy_known,one_shot_knowledge_guided,link_overlap_only,16,1.0,0.5234375,944.84375,1.9375
exact_both_policy_unknown,adaptive_explore_exploit,endpoint_overlap,157,0.9745222929936306,0.29233014861995754,402.8874734607219,3.745222929936306
exact_both_policy_unknown,adaptive_explore_exploit,hub_only,187,0.1711229946524064,0.047014260249554365,78.4469696969697,41.44385026737968
exact_both_policy_unknown,adaptive_explore_exploit,link_overlap_only,16,1.0,0.4921875,799.1666666666666,2.1875
exact_both_policy_unknown,one_shot_candidate_cycle,endpoint_overlap,157,0.9745222929936306,0.26658704883227174,384.2250530785563,3.751592356687898
exact_both_policy_unknown,one_shot_candidate_cycle,hub_only,187,0.1657754010695187,0.04344919786096257,75.9024064171123,41.70053475935829
exact_both_policy_unknown,one_shot_candidate_cycle,link_overlap_only,16,1.0,0.4453125,763.7760416666666,2.1875
exact_both_policy_unknown,one_shot_fixed,endpoint_overlap,157,0.9490445859872612,0.2837048832271762,315.72186836518046,4.343949044585988
exact_both_policy_unknown,one_shot_fixed,hub_only,187,0.1711229946524064,0.043894830659536546,75.95811051693404,41.43850267379679
exact_both_policy_unknown,one_shot_fixed,link_overlap_only,16,0.75,0.3372395833333333,501.8489583333333,14.1875
exact_both_policy_unknown,one_shot_knowledge_guided,endpoint_overlap,157,0.9617834394904459,0.3385084925690021,478.77123142250525,3.605095541401274
exact_both_policy_unknown,one_shot_knowledge_guided,hub_only,187,0.16042780748663102,0.047682709447415324,80.99598930481284,41.973262032085564
exact_both_policy_unknown,one_shot_knowledge_guided,link_overlap_only,16,1.0,0.5234375,944.84375,1.9375
logical_identifiers_only_policy_known,adaptive_explore_exploit,endpoint_overlap,157,0.9745222929936306,0.29233014861995754,402.8874734607219,3.745222929936306
logical_identifiers_only_policy_known,adaptive_explore_exploit,hub_only,187,0.1711229946524064,0.047014260249554365,78.4469696969697,41.44385026737968
logical_identifiers_only_policy_known,adaptive_explore_exploit,link_overlap_only,16,1.0,0.4921875,799.1666666666666,2.1875
logical_identifiers_only_policy_known,one_shot_candidate_cycle,endpoint_overlap,157,0.9745222929936306,0.26658704883227174,384.2250530785563,3.751592356687898
logical_identifiers_only_policy_known,one_shot_candidate_cycle,hub_only,187,0.1657754010695187,0.04344919786096257,75.9024064171123,41.70053475935829
logical_identifiers_only_policy_known,one_shot_candidate_cycle,link_overlap_only,16,1.0,0.4453125,763.7760416666666,2.1875
logical_identifiers_only_policy_known,one_shot_fixed,endpoint_overlap,157,0.9490445859872612,0.2837048832271762,315.72186836518046,4.343949044585988
logical_identifiers_only_policy_known,one_shot_fixed,hub_only,187,0.1711229946524064,0.043894830659536546,75.95811051693404,41.43850267379679
logical_identifiers_only_policy_known,one_shot_fixed,link_overlap_only,16,0.75,0.3372395833333333,501.8489583333333,14.1875
logical_identifiers_only_policy_known,one_shot_knowledge_guided,endpoint_overlap,157,0.9490445859872612,0.2837048832271762,315.72186836518046,4.343949044585988
logical_identifiers_only_policy_known,one_shot_knowledge_guided,hub_only,187,0.1711229946524064,0.043894830659536546,75.95811051693404,41.43850267379679
logical_identifiers_only_policy_known,one_shot_knowledge_guided,link_overlap_only,16,0.75,0.3372395833333333,501.8489583333333,14.1875
logical_identifiers_only_policy_unknown,adaptive_explore_exploit,endpoint_overlap,157,0.9745222929936306,0.29233014861995754,402.8874734607219,3.745222929936306
logical_identifiers_only_policy_unknown,adaptive_explore_exploit,hub_only,187,0.1711229946524064,0.047014260249554365,78.4469696969697,41.44385026737968
logical_identifiers_only_policy_unknown,adaptive_explore_exploit,link_overlap_only,16,1.0,0.4921875,799.1666666666666,2.1875
logical_identifiers_only_policy_unknown,one_shot_candidate_cycle,endpoint_overlap,157,0.9745222929936306,0.26658704883227174,384.2250530785563,3.751592356687898
logical_identifiers_only_policy_unknown,one_shot_candidate_cycle,hub_only,187,0.1657754010695187,0.04344919786096257,75.9024064171123,41.70053475935829
logical_identifiers_only_policy_unknown,one_shot_candidate_cycle,link_overlap_only,16,1.0,0.4453125,763.7760416666666,2.1875
logical_identifiers_only_policy_unknown,one_shot_fixed,endpoint_overlap,157,0.9490445859872612,0.2837048832271762,315.72186836518046,4.343949044585988
logical_identifiers_only_policy_unknown,one_shot_fixed,hub_only,187,0.1711229946524064,0.043894830659536546,75.95811051693404,41.43850267379679
logical_identifiers_only_policy_unknown,one_shot_fixed,link_overlap_only,16,0.75,0.3372395833333333,501.8489583333333,14.1875
logical_identifiers_only_policy_unknown,one_shot_knowledge_guided,endpoint_overlap,157,0.9490445859872612,0.2837048832271762,315.72186836518046,4.343949044585988
logical_identifiers_only_policy_unknown,one_shot_knowledge_guided,hub_only,187,0.1711229946524064,0.043894830659536546,75.95811051693404,41.43850267379679
logical_identifiers_only_policy_unknown,one_shot_knowledge_guided,link_overlap_only,16,0.75,0.3372395833333333,501.8489583333333,14.1875
