protocol_name,protocol_family,logical_operation,description,nominal_critical_latency_ns,postcompletion_cleanup_ns,uses_epr,used_resources
direct_coherent_remote_cx,direct_coherent,logical_remote_cx,"Direct coherent remote CX with synchronous endpoint, switch/path, and quantum-link occupancy. Endpoint is held through post-completion reset.",150.0,120.0,False,endpoint+switch_path+quantum_link+reset
entanglement_assisted_remote_cx,entanglement_assisted,logical_remote_cx,"Prefetched entanglement-assisted remote CX. EPR generation/refill uses the quantum link asynchronously; the logical operation consumes stored EPR state and then uses endpoint access, readout, feedforward, correction, and post-completion reset.",150.0,120.0,True,endpoint+quantum_link+epr_pool+epr_generator+readout+feedforward+reset
