protocol_name,protocol_family,logical_operation,nominal_critical_latency_ns,postcompletion_cleanup_ns,uses_epr,used_resource_count,used_resources,isolated_affected_probe_fraction,isolated_mean_abs_timing_change_ns,isolated_classification_accuracy,all_shared_affected_probe_fraction,all_shared_mean_abs_timing_change_ns,all_shared_longest_affected_run,all_shared_victim_request_slowdown,all_shared_victim_makespan_slowdown,all_shared_classification_accuracy,all_shared_persistent_epr_state_fraction,dominant_single_resource,dominant_single_affected_probe_fraction,dominant_single_mean_abs_timing_change_ns,dominant_single_longest_affected_run
direct_coherent_remote_cx,direct_coherent,logical_remote_cx,150.0,120.0,False,4,endpoint+switch_path+quantum_link+reset,0.0,0.0,0.3333333333333333,0.8486111111111111,1280.1241117306965,32.666666666666664,7.826429938481456,1.1208628542526324,1.0,0.0,endpoint,0.8486111111111111,1280.1241117306965,32.666666666666664
entanglement_assisted_remote_cx,entanglement_assisted,logical_remote_cx,150.0,120.0,True,7,endpoint+quantum_link+epr_pool+epr_generator+readout+feedforward+reset,0.0,0.0,0.3333333333333333,0.2659722222222222,27.833913493689714,2.0,1.0502717361815033,1.0003530437545505,1.0,0.09583333333333334,epr_pool,0.1125,11.618546397142628,0.6666666666666666
