protocol_name,scenario_id,workload_name,trial_id,probe_count,affected_probe_fraction,speedup_probe_fraction,failure_transition_fraction,mean_excess_turnaround_ns,mean_absolute_timing_change_ns,cumulative_positive_excess_ns,maximum_positive_excess_ns,p95_positive_excess_ns,std_excess_turnaround_ns,longest_affected_run,affected_run_count,lag1_excess_autocorrelation,epr_miss_fraction,persistent_epr_state_fraction,direct_victim_generation_overlap_fraction,victim_mean_request_slowdown,victim_makespan_slowdown,victim_mean_added_turnaround_ns,scenario_class,shared_resources
direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,synchronization_bursty,4,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,isolated_control,none
direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,synchronization_bursty,5,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,isolated_control,none
direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,synchronization_bursty,6,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,isolated_control,none
direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,synchronization_bursty,7,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,isolated_control,none
direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,synchronization_bursty,8,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,isolated_control,none
direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,synchronization_bursty,9,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,isolated_control,none
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,sparse_periodic,0,48,0.5833333333333334,0.0,0.0,73.46847430348653,73.46847430348653,3526.4867665673537,240.10851440595434,216.519837780792,74.23759840842904,4,19,-0.6356174025182484,0.0,0.0,0.0,1.6161764859191137,1.005930749478302,92.42647288786704,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,sparse_periodic,1,48,0.5833333333333334,0.0,0.0,76.6152428667001,76.6152428667001,3677.531657601605,250.54761747710108,228.03125835631445,76.81728029349702,4,19,-0.5854751507550959,0.0,0.0,0.0,1.5192264352947797,1.0,77.88396529421694,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,sparse_periodic,2,48,0.5833333333333334,0.0,0.0,72.95838478059825,72.95838478059825,3502.0024694687163,237.9993105074209,214.85684125045964,73.8075130940932,4,19,-0.6476226482728444,0.0,0.0,0.0,1.6316781125692952,1.0061735103335383,94.75171688539427,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,sparse_periodic,3,48,0.5833333333333334,0.0,0.0,71.84909047701471,71.84909047701471,3448.756342896706,235.4470513034912,210.66353585861597,73.05967900453113,4,19,-0.6718908608829576,0.0,0.0,0.0,1.6455366812927437,1.0063816899610807,96.83050219391161,single_resource,endpoint
