trace_id,protocol_name,scenario_id,workload_name,trial_id,probe_index,release_ns,attacker_only_success,combined_success,attacker_only_completion_ns,combined_completion_ns,attacker_only_turnaround_ns,combined_turnaround_ns,excess_turnaround_ns,affected,speedup,failure_transition
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::0,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,0,25,10530.0,True,True,10680.0,10680.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::0,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,0,26,10950.0,True,True,11100.0,11100.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::0,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,0,27,11370.0,True,True,11520.0,11520.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::0,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,0,28,11790.0,True,True,11940.0,11940.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::0,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,0,29,12210.0,True,True,12360.0,12360.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::0,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,0,30,12630.0,True,True,12780.0,12780.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::0,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,0,31,13050.0,True,True,13200.0,13200.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::0,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,0,32,13470.0,True,True,13620.0,13620.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::0,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,0,33,13890.0,True,True,14040.0,14040.0,150.0,150.0,0.0,False,False,False
trace::direct_coherent_remote_cx::direct_coherent_remote_cx__isolated::sparse_periodic::0,direct_coherent_remote_cx,direct_coherent_remote_cx__isolated,sparse_periodic,0,34,14310.0,True,True,14460.0,14460.0,150.0,150.0,0.0,False,False,False
