allocation_policy,num_modules,simultaneous_tenants,victim_modules_requested,trials,victim_rejection_probability,attacker_rejection_probability,mean_job_rejection_rate
first_fit_admission,5,2,3,100,0.0,0.0,0.0
first_fit_admission,5,3,2,100,0.0,0.0,0.0
first_fit_admission,5,3,3,100,0.0,0.0,0.0
first_fit_admission,5,4,2,100,0.0,0.0,0.0
first_fit_admission,5,4,3,100,0.0,0.0,0.25
first_fit_admission,5,8,2,100,0.0,0.0,0.5
first_fit_admission,5,8,3,100,0.0,0.0,0.625
first_fit_admission,8,2,2,100,0.0,0.0,0.0
first_fit_admission,8,2,3,100,0.0,0.0,0.0
first_fit_admission,8,3,2,100,0.0,0.0,0.0
first_fit_admission,8,3,3,100,0.0,0.0,0.0
first_fit_admission,8,4,2,100,0.0,0.0,0.0
first_fit_admission,8,4,3,100,0.0,0.0,0.0
first_fit_admission,8,8,2,100,0.0,0.0,0.0
first_fit_admission,8,8,3,100,0.0,0.0,0.375
first_fit_admission,12,2,2,100,0.0,0.0,0.0
first_fit_admission,12,2,3,100,0.0,0.0,0.0
first_fit_admission,12,3,2,100,0.0,0.0,0.0
first_fit_admission,12,3,3,100,0.0,0.0,0.0
first_fit_admission,12,4,2,100,0.0,0.0,0.0
first_fit_admission,12,4,3,100,0.0,0.0,0.0
first_fit_admission,12,8,2,100,0.0,0.0,0.0
first_fit_admission,12,8,3,100,0.0,0.0,0.0
first_fit_admission,16,2,2,100,0.0,0.0,0.0
first_fit_admission,16,2,3,100,0.0,0.0,0.0
first_fit_admission,16,3,2,100,0.0,0.0,0.0
first_fit_admission,16,3,3,100,0.0,0.0,0.0
first_fit_admission,16,4,2,100,0.0,0.0,0.0
first_fit_admission,16,4,3,100,0.0,0.0,0.0
first_fit_admission,16,8,2,100,0.0,0.0,0.0
first_fit_admission,16,8,3,100,0.0,0.0,0.0
fixed_p1,5,2,2,100,0.0,0.0,0.0
fixed_p1,5,2,3,100,0.0,0.0,0.0
fixed_p1,5,3,2,100,0.0,0.0,0.0
fixed_p1,5,3,3,100,0.0,0.0,0.0
fixed_p1,5,4,2,100,0.0,0.0,0.0
fixed_p1,5,4,3,100,0.0,0.0,0.25
fixed_p1,5,8,2,100,0.0,0.0,0.375
fixed_p1,5,8,3,100,0.0,0.0,0.625
fixed_p1,8,2,2,100,0.0,0.0,0.0
fixed_p1,8,2,3,100,0.0,0.0,0.0
fixed_p1,8,3,2,100,0.0,0.0,0.0
fixed_p1,8,3,3,100,0.0,0.0,0.0
fixed_p1,8,4,2,100,0.0,0.0,0.0
fixed_p1,8,4,3,100,0.0,0.0,0.0
fixed_p1,8,8,2,100,0.0,0.0,0.0
fixed_p1,8,8,3,100,0.0,0.0,0.375
fixed_p1,12,2,2,100,0.0,0.0,0.0
fixed_p1,12,2,3,100,0.0,0.0,0.0
fixed_p1,12,3,2,100,0.0,0.0,0.0
fixed_p1,12,3,3,100,0.0,0.0,0.0
fixed_p1,12,4,2,100,0.0,0.0,0.0
fixed_p1,12,4,3,100,0.0,0.0,0.0
fixed_p1,12,8,2,100,0.0,0.0,0.0
fixed_p1,12,8,3,100,0.0,0.0,0.0
fixed_p1,16,2,2,100,0.0,0.0,0.0
fixed_p1,16,2,3,100,0.0,0.0,0.0
fixed_p1,16,3,2,100,0.0,0.0,0.0
fixed_p1,16,3,3,100,0.0,0.0,0.0
fixed_p1,16,4,2,100,0.0,0.0,0.0
fixed_p1,16,4,3,100,0.0,0.0,0.0
fixed_p1,16,8,2,100,0.0,0.0,0.0
fixed_p1,16,8,3,100,0.0,0.0,0.0
fixed_p2,5,2,2,100,0.0,0.0,0.0
fixed_p2,5,2,3,100,0.0,0.0,0.0
fixed_p2,5,3,2,100,0.0,0.0,0.0
fixed_p2,5,3,3,100,0.0,0.0,0.0
fixed_p2,5,4,2,100,0.0,0.0,0.0
fixed_p2,5,4,3,100,0.0,0.0,0.25
fixed_p2,5,8,2,100,0.0,0.0,0.375
fixed_p2,5,8,3,100,0.0,0.0,0.625
fixed_p2,8,2,2,100,0.0,0.0,0.0
fixed_p2,8,2,3,100,0.0,0.0,0.0
fixed_p2,8,3,2,100,0.0,0.0,0.0
fixed_p2,8,3,3,100,0.0,0.0,0.0
fixed_p2,8,4,2,100,0.0,0.0,0.0
fixed_p2,8,4,3,100,0.0,0.0,0.0
fixed_p2,8,8,2,100,0.0,0.0,0.125
fixed_p2,8,8,3,100,0.0,0.0,0.375
fixed_p2,12,2,2,100,0.0,0.0,0.0
fixed_p2,12,2,3,100,0.0,0.0,0.0
fixed_p2,12,3,2,100,0.0,0.0,0.0
fixed_p2,12,3,3,100,0.0,0.0,0.0
fixed_p2,12,4,2,100,0.0,0.0,0.0
fixed_p2,12,4,3,100,0.0,0.0,0.0
fixed_p2,12,8,2,100,0.0,0.0,0.0
fixed_p2,12,8,3,100,0.0,0.0,0.125
fixed_p2,16,2,2,100,0.0,0.0,0.0
fixed_p2,16,2,3,100,0.0,0.0,0.0
fixed_p2,16,3,2,100,0.0,0.0,0.0
fixed_p2,16,3,3,100,0.0,0.0,0.0
fixed_p2,16,4,2,100,0.0,0.0,0.0
fixed_p2,16,4,3,100,0.0,0.0,0.0
fixed_p2,16,8,2,100,0.0,0.0,0.0
fixed_p2,16,8,3,100,0.0,0.0,0.0
load_balanced,5,2,2,100,0.0,0.0,0.0
load_balanced,5,2,3,100,0.0,0.0,0.0
load_balanced,5,3,2,100,0.0,0.0,0.0
load_balanced,5,3,3,100,0.0,0.0,0.0
load_balanced,5,4,2,100,0.0,0.0,0.0
load_balanced,5,4,3,100,0.0,0.0,0.25
load_balanced,5,8,2,100,0.0,0.0,0.375
load_balanced,5,8,3,100,0.0,0.0,0.625
load_balanced,8,2,2,100,0.0,0.0,0.0
load_balanced,8,2,3,100,0.0,0.0,0.0
load_balanced,8,3,2,100,0.0,0.0,0.0
load_balanced,8,3,3,100,0.0,0.0,0.0
load_balanced,8,4,2,100,0.0,0.0,0.0
load_balanced,8,4,3,100,0.0,0.0,0.0
load_balanced,8,8,2,100,0.0,0.0,0.0
load_balanced,8,8,3,100,0.0,0.0,0.375
load_balanced,12,2,2,100,0.0,0.0,0.0
load_balanced,12,2,3,100,0.0,0.0,0.0
load_balanced,12,3,2,100,0.0,0.0,0.0
load_balanced,12,3,3,100,0.0,0.0,0.0
load_balanced,12,4,2,100,0.0,0.0,0.0
load_balanced,12,4,3,100,0.0,0.0,0.0
