scenario_name,logical_component,sharing_mode,component_capacity,cross_tenant_reuse,reuse_event_count,mean_acquisition_to_acquisition_ns,median_acquisition_to_acquisition_ns,mean_release_to_reacquire_gap_ns,minimum_release_to_reacquire_gap_ns,mean_previous_hold_ns
fully_isolated_interconnect_control,controller_admission,dedicated,1,False,2366,490.90236686390534,420.0,482.90236686390534,230.99999999999818,8.0
fully_isolated_interconnect_control,destination_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.9999999999991,11.999999999999998
fully_isolated_interconnect_control,source_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,371.90236686390534,119.99999999999818,119.0
fully_isolated_interconnect_control,switch_arbiter,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.99999999999818,12.0
fully_isolated_interconnect_control,switch_path,dedicated,1,False,2366,490.90236686390534,420.0,395.90236686390534,143.99999999999818,95.0
fully_isolated_interconnect_control,transmission_segment,dedicated,1,False,2366,490.90236686390534,420.0,410.90236686390534,158.99999999999818,80.0
partitioned_controller_admission_two_lanes,controller_admission,partitioned,2,False,2366,490.90236686390534,420.0,482.90236686390534,230.99999999999818,8.0
partitioned_controller_admission_two_lanes,destination_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.9999999999991,11.999999999999998
partitioned_controller_admission_two_lanes,source_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,371.90236686390534,119.99999999999818,119.0
partitioned_controller_admission_two_lanes,switch_arbiter,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.99999999999818,12.0
partitioned_controller_admission_two_lanes,switch_path,dedicated,1,False,2366,490.90236686390534,420.0,395.90236686390534,143.99999999999818,95.0
partitioned_controller_admission_two_lanes,transmission_segment,dedicated,1,False,2366,490.90236686390534,420.0,410.90236686390534,158.99999999999818,80.0
partitioned_destination_link_interface_two_lanes,controller_admission,dedicated,1,False,2366,490.90236686390534,420.0,482.90236686390534,230.99999999999818,8.0
partitioned_destination_link_interface_two_lanes,destination_link_interface,partitioned,2,False,2366,490.90236686390534,420.0,478.90236686390534,226.9999999999991,11.999999999999998
partitioned_destination_link_interface_two_lanes,source_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,371.90236686390534,119.99999999999818,119.0
partitioned_destination_link_interface_two_lanes,switch_arbiter,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.99999999999818,12.0
partitioned_destination_link_interface_two_lanes,switch_path,dedicated,1,False,2366,490.90236686390534,420.0,395.90236686390534,143.99999999999818,95.0
partitioned_destination_link_interface_two_lanes,transmission_segment,dedicated,1,False,2366,490.90236686390534,420.0,410.90236686390534,158.99999999999818,80.0
partitioned_source_link_interface_two_lanes,controller_admission,dedicated,1,False,2366,490.90236686390534,420.0,482.90236686390534,230.99999999999818,8.0
partitioned_source_link_interface_two_lanes,destination_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.9999999999991,11.999999999999998
partitioned_source_link_interface_two_lanes,source_link_interface,partitioned,2,False,2366,490.90236686390534,420.0,371.90236686390534,119.99999999999818,119.0
partitioned_source_link_interface_two_lanes,switch_arbiter,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.99999999999818,12.0
partitioned_source_link_interface_two_lanes,switch_path,dedicated,1,False,2366,490.90236686390534,420.0,395.90236686390534,143.99999999999818,95.0
partitioned_source_link_interface_two_lanes,transmission_segment,dedicated,1,False,2366,490.90236686390534,420.0,410.90236686390534,158.99999999999818,80.0
partitioned_switch_arbiter_two_lanes,controller_admission,dedicated,1,False,2366,490.90236686390534,420.0,482.90236686390534,230.99999999999818,8.0
partitioned_switch_arbiter_two_lanes,destination_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.9999999999991,11.999999999999998
partitioned_switch_arbiter_two_lanes,source_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,371.90236686390534,119.99999999999818,119.0
partitioned_switch_arbiter_two_lanes,switch_arbiter,partitioned,2,False,2366,490.90236686390534,420.0,478.90236686390534,226.99999999999818,12.0
partitioned_switch_arbiter_two_lanes,switch_path,dedicated,1,False,2366,490.90236686390534,420.0,395.90236686390534,143.99999999999818,95.0
partitioned_switch_arbiter_two_lanes,transmission_segment,dedicated,1,False,2366,490.90236686390534,420.0,410.90236686390534,158.99999999999818,80.0
partitioned_switch_path_two_lanes,controller_admission,dedicated,1,False,2366,490.90236686390534,420.0,482.90236686390534,230.99999999999818,8.0
partitioned_switch_path_two_lanes,destination_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.9999999999991,11.999999999999998
