scenario_name,workload_name,trial_id,logical_component,sharing_mode,component_capacity,maximum_concurrent_occupancy,aggregate_occupancy_ns,capacity_limit,configured_component_capacity,capacity_respected,analysis_horizon_ns,aggregate_lane_utilization
fully_isolated_interconnect_control,layered_bursty,7,destination_link_interface,dedicated,1,1,984.0000000000001,2,1,True,20227.280403942394,0.024323586274312334
fully_isolated_interconnect_control,layered_bursty,7,source_link_interface,dedicated,1,2,9758.0,2,1,True,20215.280403942394,0.24135208132203276
fully_isolated_interconnect_control,layered_bursty,7,switch_arbiter,dedicated,1,1,984.0,2,1,True,20120.280403942394,0.02445293952780086
fully_isolated_interconnect_control,layered_bursty,7,switch_path,dedicated,1,2,7790.0,2,1,True,20215.280403942394,0.19267603130750516
fully_isolated_interconnect_control,layered_bursty,7,transmission_segment,dedicated,1,2,6560.0,2,1,True,20215.280403942394,0.1622535000484254
fully_isolated_interconnect_control,layered_bursty,8,controller_admission,dedicated,1,1,640.0,2,1,True,20000.0,0.016
fully_isolated_interconnect_control,layered_bursty,8,destination_link_interface,dedicated,1,2,960.0,2,1,True,20055.0441209514,0.023934128347219467
fully_isolated_interconnect_control,layered_bursty,8,source_link_interface,dedicated,1,2,9520.0,2,1,True,20043.0441209514,0.2374888750069794
fully_isolated_interconnect_control,layered_bursty,8,switch_arbiter,dedicated,1,2,960.0,2,1,True,20000.0,0.024
fully_isolated_interconnect_control,layered_bursty,8,switch_path,dedicated,1,2,7600.0,2,1,True,20043.0441209514,0.18959195903918524
fully_isolated_interconnect_control,layered_bursty,8,transmission_segment,dedicated,1,2,6400.0,2,1,True,20043.0441209514,0.15965638655931388
fully_isolated_interconnect_control,layered_bursty,9,controller_admission,dedicated,1,2,640.0,2,1,True,20000.0,0.016
fully_isolated_interconnect_control,layered_bursty,9,destination_link_interface,dedicated,1,2,960.0,2,1,True,20000.0,0.024
fully_isolated_interconnect_control,layered_bursty,9,source_link_interface,dedicated,1,2,9520.0,2,1,True,20000.0,0.238
fully_isolated_interconnect_control,layered_bursty,9,switch_arbiter,dedicated,1,2,960.0,2,1,True,20000.0,0.024
fully_isolated_interconnect_control,layered_bursty,9,switch_path,dedicated,1,2,7600.0,2,1,True,20000.0,0.19
fully_isolated_interconnect_control,layered_bursty,9,transmission_segment,dedicated,1,2,6400.0,2,1,True,20000.0,0.16
fully_isolated_interconnect_control,periodic_dense,0,controller_admission,dedicated,1,2,728.0,2,1,True,20000.0,0.0182
fully_isolated_interconnect_control,periodic_dense,0,destination_link_interface,dedicated,1,2,1092.0,2,1,True,20000.0,0.0273
fully_isolated_interconnect_control,periodic_dense,0,source_link_interface,dedicated,1,2,10829.0,2,1,True,20000.0,0.270725
fully_isolated_interconnect_control,periodic_dense,0,switch_arbiter,dedicated,1,2,1092.0,2,1,True,20000.0,0.0273
fully_isolated_interconnect_control,periodic_dense,0,switch_path,dedicated,1,2,8645.0,2,1,True,20000.0,0.216125
fully_isolated_interconnect_control,periodic_dense,0,transmission_segment,dedicated,1,2,7279.999999999999,2,1,True,20000.0,0.18199999999999997
fully_isolated_interconnect_control,periodic_dense,1,controller_admission,dedicated,1,1,728.0,2,1,True,20000.0,0.0182
fully_isolated_interconnect_control,periodic_dense,1,destination_link_interface,dedicated,1,2,1092.0,2,1,True,20000.0,0.0273
fully_isolated_interconnect_control,periodic_dense,1,source_link_interface,dedicated,1,2,10829.0,2,1,True,20000.0,0.270725
