scenario_name,logical_component,sharing_mode,component_capacity,trial_count,maximum_observed_concurrency,all_capacity_checks_passed,mean_aggregate_lane_utilization,max_aggregate_lane_utilization
shared_data_path_capacity1,controller_admission,dedicated,1,30,2,True,0.0161624374467744,0.0184
shared_data_path_capacity1,destination_link_interface,shared_pool,1,30,1,True,0.048376998722857216,0.05501295594977078
shared_data_path_capacity1,source_link_interface,shared_pool,1,30,1,True,0.47986440060766283,0.5458715596330275
shared_data_path_capacity1,switch_arbiter,dedicated,1,30,1,True,0.02423717138987316,0.0276
shared_data_path_capacity1,switch_path,shared_pool,1,30,1,True,0.38308502569519304,0.43577981651376146
shared_data_path_capacity1,transmission_segment,shared_pool,1,30,1,True,0.32259791637489943,0.3669724770642202
shared_data_path_capacity2,controller_admission,dedicated,1,30,2,True,0.01616707632150222,0.0184
shared_data_path_capacity2,destination_link_interface,shared_pool,2,30,2,True,0.024212027298672095,0.0276
shared_data_path_capacity2,source_link_interface,shared_pool,2,30,2,True,0.24014406183764408,0.2737
shared_data_path_capacity2,switch_arbiter,dedicated,1,30,2,True,0.024244872420862977,0.0276
shared_data_path_capacity2,switch_path,shared_pool,2,30,2,True,0.19171164600484192,0.2185
shared_data_path_capacity2,transmission_segment,shared_pool,2,30,2,True,0.16144138610934056,0.184
shared_data_path_partitioned_two_lanes,controller_admission,dedicated,1,30,2,True,0.01616707632150222,0.0184
shared_data_path_partitioned_two_lanes,destination_link_interface,partitioned,2,30,2,True,0.024212027298672095,0.0276
shared_data_path_partitioned_two_lanes,source_link_interface,partitioned,2,30,2,True,0.24014406183764408,0.2737
shared_data_path_partitioned_two_lanes,switch_arbiter,dedicated,1,30,2,True,0.024244872420862977,0.0276
shared_data_path_partitioned_two_lanes,switch_path,partitioned,2,30,2,True,0.19171164600484192,0.2185
shared_data_path_partitioned_two_lanes,transmission_segment,partitioned,2,30,2,True,0.16144138610934056,0.184
shared_destination_link_interface_capacity1,controller_admission,dedicated,1,30,2,True,0.01616707632150222,0.0184
shared_destination_link_interface_capacity1,destination_link_interface,shared_pool,1,30,1,True,0.04842405459734419,0.0552
shared_destination_link_interface_capacity1,source_link_interface,dedicated,1,30,2,True,0.24014406183764408,0.2737
shared_destination_link_interface_capacity1,switch_arbiter,dedicated,1,30,2,True,0.024244872420862977,0.0276
shared_destination_link_interface_capacity1,switch_path,dedicated,1,30,2,True,0.19171164600484192,0.2185
shared_destination_link_interface_capacity1,transmission_segment,dedicated,1,30,2,True,0.16144138610934056,0.184
shared_destination_link_interface_capacity2,controller_admission,dedicated,1,30,2,True,0.01616707632150222,0.0184
shared_destination_link_interface_capacity2,destination_link_interface,shared_pool,2,30,2,True,0.024212027298672095,0.0276
shared_destination_link_interface_capacity2,source_link_interface,dedicated,1,30,2,True,0.24014406183764408,0.2737
shared_destination_link_interface_capacity2,switch_arbiter,dedicated,1,30,2,True,0.024244872420862977,0.0276
shared_destination_link_interface_capacity2,switch_path,dedicated,1,30,2,True,0.19171164600484192,0.2185
shared_destination_link_interface_capacity2,transmission_segment,dedicated,1,30,2,True,0.16144138610934056,0.184
shared_full_pipeline_capacity1,controller_admission,shared_pool,1,30,1,True,0.0323248748935488,0.0368
shared_full_pipeline_capacity1,destination_link_interface,shared_pool,1,30,1,True,0.048376998722857216,0.05501295594977078
shared_full_pipeline_capacity1,source_link_interface,shared_pool,1,30,1,True,0.47986440060766283,0.5458715596330275
shared_full_pipeline_capacity1,switch_arbiter,shared_pool,1,30,1,True,0.04847434277974632,0.0552
shared_full_pipeline_capacity1,switch_path,shared_pool,1,30,1,True,0.38308502569519304,0.43577981651376146
shared_full_pipeline_capacity1,transmission_segment,shared_pool,1,30,1,True,0.32259791637489943,0.3669724770642202
shared_full_pipeline_capacity2,controller_admission,shared_pool,2,30,2,True,0.01616707632150222,0.0184
shared_full_pipeline_capacity2,destination_link_interface,shared_pool,2,30,2,True,0.024212027298672095,0.0276
