scenario_name,logical_component,sharing_mode,component_capacity,cross_tenant_capable,physical_lane_trial_count,mean_lane_utilization,max_lane_utilization,mean_busy_time_ns,mean_interval_count
fully_isolated_interconnect_control,communication_qubit,dedicated,1,False,60,0.482226598336062,0.5730555971826765,9663.566666666668,40.43333333333333
fully_isolated_interconnect_control,controller_admission,dedicated,1,False,60,0.016170691138778573,0.0192,323.46666666666664,40.43333333333333
fully_isolated_interconnect_control,destination_link_interface,dedicated,1,False,60,0.024240187914002363,0.0288,485.19999999999993,40.43333333333333
fully_isolated_interconnect_control,endpoint_port,dedicated,1,False,60,0.276761569649897,0.3288,5539.366666666667,40.43333333333333
fully_isolated_interconnect_control,local_route,dedicated,1,False,60,0.09696207560948875,0.2946492046611916,1939.9333333333334,40.43333333333333
fully_isolated_interconnect_control,receiver_engine,dedicated,1,False,60,0.060586757207349934,0.072,1213.0,40.43333333333333
fully_isolated_interconnect_control,reset_engine,dedicated,1,False,60,0.08070738047465473,0.09590888655777012,1617.3333333333333,40.43333333333333
fully_isolated_interconnect_control,source_link_interface,dedicated,1,False,60,0.24039873568129747,0.2856,4811.566666666667,40.43333333333333
fully_isolated_interconnect_control,switch_arbiter,dedicated,1,False,60,0.02425372172520747,0.0288,485.2,40.43333333333333
fully_isolated_interconnect_control,switch_path,dedicated,1,False,60,0.19191495705649794,0.228,3841.1666666666665,40.43333333333333
fully_isolated_interconnect_control,transmission_segment,dedicated,1,False,60,0.1616125954159983,0.192,3234.6666666666665,40.43333333333333
partitioned_controller_admission_two_lanes,communication_qubit,dedicated,1,False,60,0.482226598336062,0.5730555971826765,9663.566666666668,40.43333333333333
partitioned_controller_admission_two_lanes,controller_admission,partitioned,2,False,60,0.016170691138778573,0.0192,323.46666666666664,40.43333333333333
partitioned_controller_admission_two_lanes,destination_link_interface,dedicated,1,False,60,0.024240187914002363,0.0288,485.19999999999993,40.43333333333333
partitioned_controller_admission_two_lanes,endpoint_port,dedicated,1,False,60,0.276761569649897,0.3288,5539.366666666667,40.43333333333333
partitioned_controller_admission_two_lanes,local_route,dedicated,1,False,60,0.09696207560948875,0.2946492046611916,1939.9333333333334,40.43333333333333
partitioned_controller_admission_two_lanes,receiver_engine,dedicated,1,False,60,0.060586757207349934,0.072,1213.0,40.43333333333333
partitioned_controller_admission_two_lanes,reset_engine,dedicated,1,False,60,0.08070738047465473,0.09590888655777012,1617.3333333333333,40.43333333333333
partitioned_controller_admission_two_lanes,source_link_interface,dedicated,1,False,60,0.24039873568129747,0.2856,4811.566666666667,40.43333333333333
partitioned_controller_admission_two_lanes,switch_arbiter,dedicated,1,False,60,0.02425372172520747,0.0288,485.2,40.43333333333333
partitioned_controller_admission_two_lanes,switch_path,dedicated,1,False,60,0.19191495705649794,0.228,3841.1666666666665,40.43333333333333
partitioned_controller_admission_two_lanes,transmission_segment,dedicated,1,False,60,0.1616125954159983,0.192,3234.6666666666665,40.43333333333333
partitioned_destination_link_interface_two_lanes,communication_qubit,dedicated,1,False,60,0.482226598336062,0.5730555971826765,9663.566666666668,40.43333333333333
partitioned_destination_link_interface_two_lanes,controller_admission,dedicated,1,False,60,0.016170691138778573,0.0192,323.46666666666664,40.43333333333333
partitioned_destination_link_interface_two_lanes,destination_link_interface,partitioned,2,False,60,0.024240187914002363,0.0288,485.19999999999993,40.43333333333333
partitioned_destination_link_interface_two_lanes,endpoint_port,dedicated,1,False,60,0.276761569649897,0.3288,5539.366666666667,40.43333333333333
partitioned_destination_link_interface_two_lanes,local_route,dedicated,1,False,60,0.09696207560948875,0.2946492046611916,1939.9333333333334,40.43333333333333
partitioned_destination_link_interface_two_lanes,receiver_engine,dedicated,1,False,60,0.060586757207349934,0.072,1213.0,40.43333333333333
partitioned_destination_link_interface_two_lanes,reset_engine,dedicated,1,False,60,0.08070738047465473,0.09590888655777012,1617.3333333333333,40.43333333333333
partitioned_destination_link_interface_two_lanes,source_link_interface,dedicated,1,False,60,0.24039873568129747,0.2856,4811.566666666667,40.43333333333333
partitioned_destination_link_interface_two_lanes,switch_arbiter,dedicated,1,False,60,0.02425372172520747,0.0288,485.2,40.43333333333333
partitioned_destination_link_interface_two_lanes,switch_path,dedicated,1,False,60,0.19191495705649794,0.228,3841.1666666666665,40.43333333333333
partitioned_destination_link_interface_two_lanes,transmission_segment,dedicated,1,False,60,0.1616125954159983,0.192,3234.6666666666665,40.43333333333333
partitioned_source_link_interface_two_lanes,communication_qubit,dedicated,1,False,60,0.482226598336062,0.5730555971826765,9663.566666666668,40.43333333333333
partitioned_source_link_interface_two_lanes,controller_admission,dedicated,1,False,60,0.016170691138778573,0.0192,323.46666666666664,40.43333333333333
partitioned_source_link_interface_two_lanes,destination_link_interface,dedicated,1,False,60,0.024240187914002363,0.0288,485.19999999999993,40.43333333333333
partitioned_source_link_interface_two_lanes,endpoint_port,dedicated,1,False,60,0.276761569649897,0.3288,5539.366666666667,40.43333333333333
partitioned_source_link_interface_two_lanes,local_route,dedicated,1,False,60,0.09696207560948875,0.2946492046611916,1939.9333333333334,40.43333333333333
partitioned_source_link_interface_two_lanes,receiver_engine,dedicated,1,False,60,0.060586757207349934,0.072,1213.0,40.43333333333333
partitioned_source_link_interface_two_lanes,reset_engine,dedicated,1,False,60,0.08070738047465473,0.09590888655777012,1617.3333333333333,40.43333333333333
