,qaoa_nativegates_ibm_qiskit_opt3_10.qasm,qaoa_nativegates_ibm_qiskit_opt3_11.qasm,qaoa_nativegates_ibm_qiskit_opt3_12.qasm,qaoa_nativegates_ibm_qiskit_opt3_13.qasm,qaoa_nativegates_ibm_qiskit_opt3_14.qasm,qaoa_nativegates_ibm_qiskit_opt3_15.qasm,qaoa_nativegates_ibm_qiskit_opt3_5.qasm,qaoa_nativegates_ibm_qiskit_opt3_6.qasm,qaoa_nativegates_ibm_qiskit_opt3_7.qasm,qaoa_nativegates_ibm_qiskit_opt3_8.qasm,qaoa_nativegates_ibm_qiskit_opt3_9.qasm
qaoa_nativegates_ibm_qiskit_opt3_10.qasm,0.0,5.163743291640943,2.7977353383388217,5.263075546150487,3.7228803743313534,5.982069062136084,5.3754706498463145,3.0266783810137587,2.885656963724332,2.7818195365262457,5.4807955116896965
qaoa_nativegates_ibm_qiskit_opt3_11.qasm,5.163743291640943,0.0,7.842957246405932,0.5830580333103564,3.3209108427847793,2.551372271019929,10.117236905645235,5.9556388962370574,5.812274628075932,5.69438679871077,2.6403321781609135
qaoa_nativegates_ibm_qiskit_opt3_12.qasm,2.7977353383388217,7.842957246405932,0.0,7.8763902314409115,5.7339642645089075,8.237664948565921,4.085180001261136,4.701502159455967,4.6069134016605116,4.5379642916465865,8.188125601944286
qaoa_nativegates_ibm_qiskit_opt3_13.qasm,5.263075546150487,0.5830580333103564,7.8763902314409115,0.0,3.18940267654313,2.262790981120082,10.289685184204549,6.1859674227561605,6.0190364300473735,5.87852350665742,2.8961821521683517
qaoa_nativegates_ibm_qiskit_opt3_14.qasm,3.7228803743313534,3.3209108427847793,5.7339642645089075,3.18940267654313,0.0,2.5673989395655976,8.964901343784458,6.096677981183736,5.924037411821326,5.778267522567574,5.323153061244541
qaoa_nativegates_ibm_qiskit_opt3_15.qasm,5.982069062136084,2.551372271019929,8.237664948565921,2.262790981120082,2.5673989395655976,0.0,11.239732653413295,7.733489988239045,7.563746670621249,7.418572201366894,5.125625714675732
qaoa_nativegates_ibm_qiskit_opt3_5.qasm,5.3754706498463145,10.117236905645235,4.085180001261136,10.289685184204549,8.964901343784458,11.239732653413295,0.0,4.916913644736148,4.997649157760542,5.0851550445628275,9.556690250017239
qaoa_nativegates_ibm_qiskit_opt3_6.qasm,3.0266783810137587,5.9556388962370574,4.701502159455967,6.1859674227561605,6.096677981183736,7.733489988239045,4.916913644736148,0.0,0.307691974338024,0.5846147512422455,4.830249745707739
qaoa_nativegates_ibm_qiskit_opt3_7.qasm,2.885656963724332,5.812274628075932,4.6069134016605116,6.0190364300473735,5.924037411821326,7.563746670621249,4.997649157760542,0.307691974338024,0.0,0.2769227769042215,4.720080938741115
qaoa_nativegates_ibm_qiskit_opt3_8.qasm,2.7818195365262457,5.69438679871077,4.5379642916465865,5.87852350665742,5.778267522567574,7.418572201366894,5.0851550445628275,0.5846147512422455,0.2769227769042215,0.0,4.636175527816236
qaoa_nativegates_ibm_qiskit_opt3_9.qasm,5.4807955116896965,2.6403321781609135,8.188125601944286,2.8961821521683517,5.323153061244541,5.125625714675732,9.556690250017239,4.830249745707739,4.720080938741115,4.636175527816236,0.0
