spacing_name,probe_id,remote_probe_release_time_ns,preceding_interval_ns
spacing_burst4,25,11250,140.0
spacing_burst4,26,11390,140.0
spacing_burst4,27,11530,140.0
spacing_burst4,28,12790,1260.0
spacing_burst4,29,12930,140.0
spacing_burst4,30,13070,140.0
spacing_burst4,31,13210,140.0
spacing_burst4,32,14470,1260.0
spacing_burst4,33,14610,140.0
spacing_burst4,34,14750,140.0
spacing_burst4,35,14890,140.0
spacing_burst4,36,16150,1260.0
spacing_burst4,37,16290,140.0
spacing_burst4,38,16430,140.0
spacing_burst4,39,16570,140.0
spacing_burst4,40,17830,1260.0
spacing_burst4,41,17970,140.0
spacing_burst4,42,18110,140.0
spacing_burst4,43,18250,140.0
spacing_burst4,44,19510,1260.0
spacing_burst4,45,19650,140.0
spacing_burst4,46,19790,140.0
spacing_burst4,47,20770,980.0
spacing_jittered,0,1030,
spacing_jittered,1,1390,360.0
spacing_jittered,2,1640,250.0
spacing_jittered,3,2200,560.0
spacing_jittered,4,2690,490.0
spacing_jittered,5,2900,210.0
spacing_jittered,6,3380,480.0
spacing_jittered,7,3700,320.0
spacing_jittered,8,3920,220.0
spacing_jittered,9,4560,640.0
spacing_jittered,10,4810,250.0
spacing_jittered,11,5180,370.0
spacing_jittered,12,5450,270.0
spacing_jittered,13,5810,360.0
spacing_jittered,14,6090,280.0
spacing_jittered,15,6450,360.0
spacing_jittered,16,7040,590.0
spacing_jittered,17,7660,620.0
spacing_jittered,18,8140,480.0
spacing_jittered,19,8320,180.0
spacing_jittered,20,8690,370.0
spacing_jittered,21,9060,370.0
spacing_jittered,22,9530,470.0
spacing_jittered,23,10110,580.0
spacing_jittered,24,10580,470.0
spacing_jittered,25,10940,360.0
spacing_jittered,26,11410,470.0
spacing_jittered,27,12000,590.0
spacing_jittered,28,12480,480.0
spacing_jittered,29,13050,570.0
spacing_jittered,30,13310,260.0
spacing_jittered,31,13940,630.0
spacing_jittered,32,14140,200.0
spacing_jittered,33,14510,370.0
spacing_jittered,34,14850,340.0
spacing_jittered,35,15440,590.0
spacing_jittered,36,15920,480.0
spacing_jittered,37,16440,520.0
spacing_jittered,38,17070,630.0
spacing_jittered,39,17540,470.0
spacing_jittered,40,18040,500.0
spacing_jittered,41,18570,530.0
spacing_jittered,42,18820,250.0
spacing_jittered,43,19030,210.0
spacing_jittered,44,19380,350.0
spacing_jittered,45,20040,660.0
spacing_jittered,46,20350,310.0
spacing_jittered,47,20770,420.0
