attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
13,13,window_20us_baseline,20000,6460,6490,6490,7090,7200,110,600,710,module_3,module_4,55,0,110,6600,600,600,True
14,14,window_20us_baseline,20000,6880,6910,6910,7200,7310,110,290,400,module_3,module_4,56,0,110,7020,290,290,True
15,15,window_20us_baseline,20000,7300,7330,7330,7330,7440,110,0,110,module_3,module_4,57,0,110,7440,0,0,False
16,16,window_20us_baseline,20000,7720,7750,7750,7750,7860,110,0,110,module_3,module_4,58,0,110,7860,0,0,False
17,17,window_20us_baseline,20000,8140,8170,8170,8170,8280,110,0,110,module_3,module_4,59,0,110,8280,0,0,False
18,18,window_20us_baseline,20000,8560,8590,8590,8590,8700,110,0,110,module_3,module_4,60,0,110,8700,0,0,False
19,19,window_20us_baseline,20000,8980,9010,9010,9010,9120,110,0,110,module_3,module_4,61,0,110,9120,0,0,False
20,20,window_20us_baseline,20000,9400,9430,9430,9430,9540,110,0,110,module_3,module_4,62,0,110,9540,0,0,False
21,21,window_20us_baseline,20000,9820,9850,9850,9850,9960,110,0,110,module_3,module_4,63,0,110,9960,0,0,False
22,22,window_20us_baseline,20000,10240,10270,10270,10270,10380,110,0,110,module_3,module_4,64,0,110,10380,0,0,False
23,23,window_20us_baseline,20000,10660,10690,10690,10690,10800,110,0,110,module_3,module_4,65,0,110,10800,0,0,False
24,24,window_20us_baseline,20000,11080,11110,11110,11110,11220,110,0,110,module_3,module_4,66,0,110,11220,0,0,False
25,25,window_20us_baseline,20000,11500,11530,11530,11530,11640,110,0,110,module_3,module_4,67,0,110,11640,0,0,False
26,26,window_20us_baseline,20000,11920,11950,11950,11950,12060,110,0,110,module_3,module_4,68,0,110,12060,0,0,False
27,27,window_20us_baseline,20000,12340,12370,12370,12370,12480,110,0,110,module_3,module_4,69,0,110,12480,0,0,False
28,28,window_20us_baseline,20000,12760,12790,12790,12790,12900,110,0,110,module_3,module_4,70,0,110,12900,0,0,False
29,29,window_20us_baseline,20000,13180,13210,13210,13210,13320,110,0,110,module_3,module_4,71,0,110,13320,0,0,False
30,30,window_20us_baseline,20000,13600,13630,13630,13630,13740,110,0,110,module_3,module_4,72,0,110,13740,0,0,False
31,31,window_20us_baseline,20000,14020,14050,14050,14050,14160,110,0,110,module_3,module_4,73,0,110,14160,0,0,False
32,32,window_20us_baseline,20000,14440,14470,14470,14470,14580,110,0,110,module_3,module_4,74,0,110,14580,0,0,False
33,33,window_20us_baseline,20000,14860,14890,14890,14890,15000,110,0,110,module_3,module_4,75,0,110,15000,0,0,False
34,34,window_20us_baseline,20000,15280,15310,15310,15310,15420,110,0,110,module_3,module_4,76,0,110,15420,0,0,False
35,35,window_20us_baseline,20000,15700,15730,15730,15730,15840,110,0,110,module_3,module_4,77,0,110,15840,0,0,False
36,36,window_20us_baseline,20000,16120,16150,16150,16150,16260,110,0,110,module_3,module_4,78,0,110,16260,0,0,False
37,37,window_20us_baseline,20000,16540,16570,16570,16570,16680,110,0,110,module_3,module_4,79,0,110,16680,0,0,False
38,38,window_20us_baseline,20000,16960,16990,16990,16990,17100,110,0,110,module_3,module_4,80,0,110,17100,0,0,False
39,39,window_20us_baseline,20000,17380,17410,17410,17410,17520,110,0,110,module_3,module_4,81,0,110,17520,0,0,False
40,40,window_20us_baseline,20000,17800,17830,17830,17830,17940,110,0,110,module_3,module_4,82,0,110,17940,0,0,False
41,41,window_20us_baseline,20000,18220,18250,18250,18250,18360,110,0,110,module_3,module_4,83,0,110,18360,0,0,False
42,42,window_20us_baseline,20000,18640,18670,18670,18670,18780,110,0,110,module_3,module_4,84,0,110,18780,0,0,False
43,43,window_20us_baseline,20000,19060,19090,19090,19090,19200,110,0,110,module_3,module_4,85,0,110,19200,0,0,False
44,44,window_20us_baseline,20000,19480,19510,19510,19510,19620,110,0,110,module_3,module_4,86,0,110,19620,0,0,False
45,45,window_20us_baseline,20000,19900,19930,19930,19930,20040,110,0,110,module_3,module_4,87,0,110,20040,0,0,False
46,46,window_20us_baseline,20000,20320,20350,20350,20350,20460,110,0,110,module_3,module_4,88,0,110,20460,0,0,False
47,47,window_20us_baseline,20000,20740,20770,20770,20770,20880,110,0,110,module_3,module_4,89,0,110,20880,0,0,False
